iter	Passed	Remaining
0	1	1208
1	1	833
2	1	636
3	2	546
4	2	517
5	2	491
6	3	470
7	3	442
8	3	421
9	4	411
10	4	407
11	4	399
12	5	398
13	5	388
14	5	378
15	6	370
16	6	362
17	6	357
18	6	352
19	7	347
20	7	344
21	7	339
22	7	335
23	8	330
24	8	327
25	8	324
26	8	321
27	9	318
28	9	314
29	9	312
30	9	309
31	10	306
32	10	304
33	10	302
34	10	300
35	11	299
36	11	297
37	11	296
38	12	295
39	12	294
40	12	293
41	12	292
42	13	292
43	13	290
44	13	289
45	13	288
46	14	287
47	14	286
48	14	285
49	14	284
50	15	283
51	15	282
52	15	281
53	16	280
54	16	279
55	16	278
56	16	278
57	17	277
58	17	276
59	17	275
60	17	275
61	18	274
62	18	273
63	18	272
64	18	272
65	19	272
66	19	272
67	19	271
68	20	270
69	20	270
70	20	269
71	20	269
72	21	268
73	21	267
74	21	268
75	22	267
76	22	267
77	22	267
78	22	266
79	23	266
80	23	267
81	23	267
82	24	265
83	24	265
84	24	264
85	24	264
86	25	263
87	25	263
88	25	262
89	25	262
90	26	261
91	26	261
92	26	260
93	26	260
94	27	259
95	27	259
96	27	258
97	28	257
98	28	257
99	28	257
100	28	256
101	29	255
102	29	255
103	29	255
104	29	254
105	30	253
106	30	253
107	30	252
108	30	252
109	31	251
110	31	251
111	31	251
112	31	250
113	32	251
114	32	250
115	32	249
116	32	248
117	33	248
118	33	248
119	33	247
120	34	247
121	34	246
122	34	245
123	34	245
124	34	244
125	35	244
126	35	243
127	35	243
128	35	242
129	36	242
130	36	241
131	36	241
132	36	241
133	37	240
134	37	240
135	37	240
136	38	239
137	38	239
138	38	238
139	38	238
140	39	238
141	39	236
142	39	236
143	39	236
144	40	236
145	40	235
146	40	235
147	40	234
148	41	234
149	41	234
150	41	233
151	41	233
152	42	232
153	42	232
154	42	231
155	42	231
156	43	231
157	43	230
158	43	230
159	43	229
160	43	228
161	44	228
162	44	228
163	44	228
164	45	227
165	45	227
166	45	227
167	45	226
168	46	226
169	46	226
170	46	226
171	46	225
172	47	225
173	47	225
174	47	224
175	47	224
176	48	224
177	48	223
178	48	223
179	49	223
180	49	222
181	49	222
182	49	222
183	50	221
184	50	221
185	50	221
186	50	220
187	51	220
188	51	220
189	51	219
190	51	219
191	52	219
192	52	218
193	53	220
194	53	220
195	53	219
196	53	219
197	54	219
198	54	219
199	54	218
200	54	218
201	55	218
202	55	217
203	55	217
204	55	217
205	56	216
206	56	216
207	56	216
208	57	216
209	57	215
210	57	215
211	57	215
212	58	214
213	58	214
214	58	214
215	58	213
216	59	213
217	59	213
218	59	212
219	59	212
220	60	212
221	60	211
222	60	211
223	60	211
224	61	210
225	61	210
226	61	210
227	61	209
228	62	209
229	62	209
230	62	208
231	62	208
232	63	208
233	63	207
234	63	207
235	64	207
236	64	206
237	64	206
238	64	206
239	64	205
240	65	205
241	65	205
242	65	204
243	66	204
244	66	204
245	66	204
246	66	203
247	67	203
248	67	203
249	67	203
250	68	203
251	68	202
252	68	202
253	68	202
254	69	202
255	69	201
256	69	201
257	70	201
258	70	201
259	70	201
260	70	200
261	71	200
262	71	200
263	71	200
264	72	199
265	72	199
266	72	199
267	72	198
268	73	198
269	73	198
270	73	198
271	73	197
272	74	197
273	74	197
274	74	197
275	75	196
276	75	196
277	75	196
278	75	195
279	76	195
280	76	195
281	76	195
282	76	194
283	77	194
284	77	194
285	77	193
286	77	193
287	78	193
288	78	193
289	78	192
290	78	192
291	79	192
292	79	191
293	79	191
294	80	191
295	80	190
296	80	190
297	80	190
298	81	190
299	81	189
300	81	189
301	81	189
302	82	188
303	82	188
304	82	188
305	83	188
306	83	188
307	83	187
308	83	187
309	84	187
310	84	187
311	84	186
312	85	186
313	85	186
314	85	186
315	85	185
316	86	185
317	86	185
318	86	184
319	86	184
320	87	184
321	87	184
322	87	183
323	87	183
324	88	183
325	88	182
326	88	182
327	89	182
328	89	182
329	89	181
330	89	181
331	90	181
332	90	180
333	90	180
334	90	180
335	91	179
336	91	179
337	91	179
338	91	179
339	92	178
340	92	178
341	92	178
342	92	178
343	93	177
344	93	177
345	93	177
346	93	176
347	94	176
348	94	176
349	94	175
350	94	175
351	95	175
352	95	175
353	95	174
